date,mkt_rf,smb,hml,rf
2018-04-17,0.01090000,0.00160000,-0.01180000,0.00010000
2018-04-18,0.00130000,0.00210000,0.00020000,0.00010000
2018-04-19,-0.00490000,-0.00470000,0.01080000,0.00010000
2018-04-20,-0.00810000,0.00060000,0.00580000,0.00010000
2018-04-23,-0.00050000,-0.00080000,0.00190000,0.00010000
2018-04-24,-0.01300000,0.00530000,0.01020000,0.00010000
2018-04-25,0.00110000,-0.00340000,0.00060000,0.00010000
2018-04-26,0.00950000,-0.00390000,-0.00850000,0.00010000
2018-04-27,0.00010000,-0.00260000,0.00040000,0.00010000
2018-04-30,-0.00810000,0.00030000,-0.00090000,0.00010000
2018-05-01,0.00250000,0.00230000,-0.00530000,0.00010000
2018-05-02,-0.00620000,0.01290000,-0.00350000,0.00010000
2018-05-03,-0.00250000,-0.00520000,-0.00150000,0.00010000
2018-05-04,0.01300000,0.00020000,-0.00200000,0.00010000
2018-05-07,0.00410000,0.00420000,-0.00330000,0.00010000
2018-05-08,0.00070000,0.00490000,0.00230000,0.00010000
2018-05-09,0.00900000,-0.00220000,0.00250000,0.00010000
2018-05-10,0.00850000,-0.00430000,-0.00040000,0.00010000
2018-05-11,0.00190000,0.00120000,-0.00380000,0.00010000
2018-05-14,0.00050000,-0.00360000,0.00110000,0.00010000
2018-05-15,-0.00550000,0.00670000,0.00400000,0.00010000
2018-05-16,0.00500000,0.00700000,-0.00250000,0.00010000
2018-05-17,0.00010000,0.00900000,0.00290000,0.00010000
2018-05-18,-0.00230000,0.00570000,-0.00620000,0.00010000
2018-05-21,0.00720000,-0.00190000,0.00440000,0.00010000
2018-05-22,-0.00420000,-0.00760000,0.00610000,0.00010000
2018-05-23,0.00290000,0.00050000,-0.00690000,0.00010000
2018-05-24,-0.00160000,0.00370000,-0.00350000,0.00010000
2018-05-25,-0.00220000,0.00250000,-0.00390000,0.00010000
2018-05-29,-0.01030000,0.01320000,-0.01020000,0.00010000
2018-05-30,0.01310000,0.00040000,0.00360000,0.00010000
2018-05-31,-0.00700000,0.00070000,-0.00430000,0.00010000
2018-06-01,0.01060000,-0.00230000,-0.00100000,0.00010000
2018-06-04,0.00480000,0.00170000,-0.00450000,0.00010000
2018-06-05,0.00160000,0.00820000,-0.00440000,0.00010000
2018-06-06,0.00860000,-0.00330000,0.00210000,0.00010000
2018-06-07,-0.00140000,-0.00300000,0.00930000,0.00010000
2018-06-08,0.00310000,0.00080000,-0.00400000,0.00010000
2018-06-11,0.00120000,0.00180000,-0.00160000,0.00010000
2018-06-12,0.00230000,0.00230000,-0.00630000,0.00010000
2018-06-13,-0.00330000,0.00080000,-0.00200000,0.00010000
2018-06-14,0.00280000,0.00320000,-0.01010000,0.00010000
2018-06-15,-0.00070000,0.00040000,-0.00250000,0.00010000
2018-06-18,-0.00090000,0.00720000,0.00080000,0.00010000
2018-06-19,-0.00380000,0.00570000,-0.00140000,0.00010000
2018-06-20,0.00230000,0.00730000,-0.00510000,0.00010000
2018-06-21,-0.00730000,-0.00630000,0.00330000,0.00010000
2018-06-22,0.00110000,0.00000000,0.00460000,0.00010000
2018-06-25,-0.01480000,-0.00540000,0.00570000,0.00010000
2018-06-26,0.00270000,0.00630000,-0.00240000,0.00010000
2018-06-27,-0.01020000,-0.00990000,0.00360000,0.00010000
2018-06-28,0.00580000,-0.00180000,-0.00510000,0.00010000
2018-06-29,0.00060000,-0.00200000,-0.00240000,0.00010000
2018-07-02,0.00360000,0.00440000,-0.00250000,0.00010000
2018-07-03,-0.00440000,0.00810000,-0.00020000,0.00010000
2018-07-05,0.00870000,0.00440000,-0.00430000,0.00010000
2018-07-06,0.00880000,0.00050000,-0.00300000,0.00010000
2018-07-09,0.00930000,-0.00410000,0.00860000,0.00010000
2018-07-10,0.00210000,-0.00780000,-0.00160000,0.00010000
2018-07-11,-0.00700000,-0.00020000,-0.00460000,0.00010000
2018-07-12,0.00850000,-0.00340000,-0.01160000,0.00010000
2018-07-13,0.00080000,-0.00130000,-0.00290000,0.00010000
2018-07-16,-0.00160000,-0.00770000,0.00970000,0.00010000
2018-07-17,0.00480000,0.00260000,-0.00740000,0.00010000
2018-07-18,0.00260000,-0.00270000,0.00680000,0.00010000
2018-07-19,-0.00340000,0.00960000,-0.00360000,0.00010000
2018-07-20,-0.00100000,-0.00180000,0.00110000,0.00010000
2018-07-23,0.00160000,-0.00290000,0.00540000,0.00010000
2018-07-24,0.00220000,-0.01360000,0.00390000,0.00010000
2018-07-25,0.00830000,-0.00430000,-0.01060000,0.00010000
2018-07-26,-0.00210000,0.00640000,0.00580000,0.00010000
2018-07-27,-0.00820000,-0.01380000,0.01060000,0.00010000
2018-07-30,-0.00700000,-0.00220000,0.01590000,0.00010000
2018-07-31,0.00510000,0.00840000,-0.01100000,0.00010000
2018-08-01,-0.00130000,0.00060000,-0.00220000,0.00010000
2018-08-02,0.00670000,0.00330000,-0.00650000,0.00010000
2018-08-03,0.00310000,-0.01070000,0.00510000,0.00010000
2018-08-06,0.00460000,0.00260000,-0.00330000,0.00010000
2018-08-07,0.00290000,0.00030000,-0.00150000,0.00010000
2018-08-08,-0.00040000,-0.00130000,0.00260000,0.00010000
2018-08-09,-0.00050000,0.00370000,-0.00350000,0.00010000
2018-08-10,-0.00600000,0.00400000,-0.00210000,0.00010000
2018-08-13,-0.00460000,-0.00140000,-0.00290000,0.00010000
2018-08-14,0.00690000,0.00300000,0.00220000,0.00010000
2018-08-15,-0.00910000,-0.00530000,-0.00140000,0.00010000
2018-08-16,0.00860000,-0.00070000,0.00260000,0.00010000
2018-08-17,0.00300000,0.00090000,0.00010000,0.00010000
2018-08-20,0.00250000,0.00120000,0.00140000,0.00010000
2018-08-21,0.00330000,0.00900000,0.00140000,0.00010000
2018-08-22,0.00050000,0.00370000,-0.00350000,0.00010000
2018-08-23,-0.00190000,-0.00050000,-0.00330000,0.00010000
2018-08-24,0.00620000,-0.00020000,-0.00580000,0.00010000
2018-08-27,0.00740000,-0.00680000,-0.00150000,0.00010000
2018-08-28,-0.00010000,-0.00110000,-0.00230000,0.00010000
2018-08-29,0.00560000,-0.00040000,-0.00570000,0.00010000
2018-08-30,-0.00410000,0.00290000,-0.00420000,0.00010000
2018-08-31,0.00080000,0.00500000,-0.00380000,0.00010000
2018-09-04,-0.00110000,-0.00370000,0.00010000,0.00010000
2018-09-05,-0.00410000,-0.00180000,0.00670000,0.00010000
2018-09-06,-0.00440000,-0.00340000,-0.00250000,0.00010000
2018-09-07,-0.00180000,0.00110000,-0.00220000,0.00010000
2018-09-10,0.00230000,0.00120000,-0.00360000,0.00010000
2018-09-11,0.00370000,-0.00300000,-0.00240000,0.00010000
2018-09-12,0.00030000,-0.00060000,-0.00230000,0.00010000
2018-09-13,0.00450000,-0.00440000,-0.00390000,0.00010000
2018-09-14,0.00120000,0.00270000,0.00250000,0.00010000
2018-09-17,-0.00720000,-0.00460000,0.00850000,0.00010000
2018-09-18,0.00570000,0.00050000,-0.00480000,0.00010000
2018-09-19,0.00050000,-0.00670000,0.01280000,0.00010000
2018-09-20,0.00770000,0.00310000,-0.00230000,0.00010000
2018-09-21,-0.00130000,-0.00420000,0.00310000,0.00010000
2018-09-24,-0.00310000,0.00050000,-0.00890000,0.00010000
2018-09-25,-0.00050000,0.00270000,-0.00380000,0.00010000
2018-09-26,-0.00400000,-0.00380000,-0.00620000,0.00010000
2018-09-27,0.00270000,-0.00270000,-0.00540000,0.00010000
2018-09-28,-0.00030000,0.00400000,-0.00190000,0.00010000
2018-10-01,0.00160000,-0.01630000,0.00360000,0.00010000
2018-10-02,-0.00210000,-0.00980000,0.00570000,0.00010000
2018-10-03,0.00200000,0.00850000,0.00500000,0.00010000
2018-10-04,-0.00930000,-0.01060000,0.01580000,0.00010000
2018-10-05,-0.00640000,-0.00420000,0.00370000,0.00010000
2018-10-08,-0.00180000,-0.00410000,0.01240000,0.00010000
2018-10-09,-0.00180000,-0.00290000,0.00280000,0.00010000
2018-10-10,-0.03330000,0.00290000,0.01090000,0.00010000
2018-10-11,-0.01960000,0.00460000,-0.00920000,0.00010000
2018-10-12,0.01390000,-0.00870000,-0.01750000,0.00010000
2018-10-15,-0.00480000,0.00910000,0.00520000,0.00010000
2018-10-16,0.02250000,0.00690000,-0.01450000,0.00010000
2018-10-17,-0.00090000,-0.00670000,0.00230000,0.00010000
2018-10-18,-0.01540000,-0.00540000,0.00420000,0.00010000
2018-10-19,-0.00240000,-0.01330000,0.00700000,0.00010000
2018-10-22,-0.00380000,0.00480000,-0.01260000,0.00010000
2018-10-23,-0.00620000,-0.00090000,-0.00420000,0.00010000
2018-10-24,-0.03330000,-0.00930000,0.00760000,0.00010000
2018-10-25,0.01930000,0.00420000,-0.00600000,0.00010000
2018-10-26,-0.01650000,0.00570000,0.00350000,0.00010000
2018-10-29,-0.00760000,-0.00320000,0.01610000,0.00010000
2018-10-30,0.01660000,0.00420000,0.00090000,0.00010000
2018-10-31,0.01210000,-0.00650000,-0.00740000,0.00010000
2018-11-01,0.01290000,0.01340000,-0.01120000,0.00010000
2018-11-02,-0.00530000,0.00800000,0.00670000,0.00010000
2018-11-05,0.00400000,-0.01020000,0.01570000,0.00010000
2018-11-06,0.00570000,-0.00160000,0.00020000,0.00010000
2018-11-07,0.02120000,-0.00330000,-0.01050000,0.00010000
2018-11-08,-0.00280000,-0.00250000,0.00250000,0.00010000
2018-11-09,-0.01040000,-0.00860000,0.00410000,0.00010000
2018-11-12,-0.02060000,0.00020000,0.00840000,0.00010000
2018-11-13,-0.00130000,-0.00110000,0.00160000,0.00010000
2018-11-14,-0.00780000,0.00020000,-0.00270000,0.00010000
2018-11-15,0.01180000,0.00350000,-0.00390000,0.00010000
2018-11-16,0.00150000,0.00020000,-0.00060000,0.00010000
2018-11-19,-0.01880000,-0.00740000,0.02320000,0.00010000
2018-11-20,-0.01850000,0.00150000,-0.00540000,0.00010000
2018-11-21,0.00510000,0.00990000,-0.00330000,0.00010000
2018-11-23,-0.00550000,0.00830000,-0.00610000,0.00010000
2018-11-26,0.01620000,-0.00660000,-0.00200000,0.00010000
2018-11-27,0.00110000,-0.01080000,0.00250000,0.00010000
2018-11-28,0.02420000,0.00440000,-0.01160000,0.00010000
2018-11-29,-0.00220000,-0.00100000,-0.00090000,0.00010000
2018-11-30,0.00790000,-0.00320000,-0.00440000,0.00010000
2018-12-03,0.01130000,-0.00050000,-0.00780000,0.00010000
2018-12-04,-0.03460000,-0.00960000,-0.00220000,0.00010000
2018-12-06,-0.00160000,0.00130000,-0.01060000,0.00010000
2018-12-07,-0.02360000,0.00200000,0.01330000,0.00010000
2018-12-10,0.00100000,-0.00110000,-0.01640000,0.00010000
2018-12-11,-0.00080000,-0.00050000,-0.00420000,0.00010000
2018-12-12,0.00680000,0.00570000,-0.00170000,0.00010000
2018-12-13,-0.00260000,-0.01510000,-0.00200000,0.00010000
2018-12-14,-0.01890000,-0.00060000,0.00490000,0.00010000
2018-12-17,-0.02130000,-0.00250000,0.01080000,0.00010000
2018-12-18,-0.00030000,0.00020000,-0.00600000,0.00010000
2018-12-19,-0.01580000,-0.00600000,0.00020000,0.00010000
2018-12-20,-0.01620000,-0.00280000,0.00970000,0.00010000
2018-12-21,-0.02160000,-0.00560000,0.00770000,0.00010000
2018-12-24,-0.02550000,0.01010000,-0.00510000,0.00010000
2018-12-26,0.05070000,-0.00060000,-0.01000000,0.00010000
2018-12-27,0.00780000,-0.00670000,-0.00130000,0.00010000
2018-12-28,-0.00030000,0.00770000,0.00250000,0.00010000
2018-12-31,0.00900000,-0.00090000,-0.00450000,0.00010000
2019-01-02,0.00220000,0.00580000,0.01140000,0.00010000
2019-01-03,-0.02450000,0.00360000,0.01180000,0.00010000
2019-01-04,0.03550000,0.00400000,-0.00690000,0.00010000
2019-01-07,0.00940000,0.01010000,-0.00750000,0.00010000
2019-01-08,0.01010000,0.00520000,-0.00630000,0.00010000
2019-01-09,0.00520000,0.00460000,0.00110000,0.00010000
2019-01-10,0.00400000,0.00030000,-0.00450000,0.00010000
2019-01-11,0.00000000,0.00120000,0.00220000,0.00010000
2019-01-14,-0.00600000,-0.00600000,0.00950000,0.00010000
2019-01-15,0.01050000,0.00000000,-0.00900000,0.00010000
2019-01-16,0.00280000,0.00040000,0.00920000,0.00010000
2019-01-17,0.00780000,0.00110000,-0.00240000,0.00010000
2019-01-18,0.01300000,-0.00370000,0.00120000,0.00010000
2019-01-22,-0.01520000,-0.00390000,0.00300000,0.00010000
2019-01-23,0.00160000,-0.00380000,-0.00150000,0.00010000
2019-01-24,0.00230000,0.00440000,0.00000000,0.00010000
2019-01-25,0.00900000,0.00460000,-0.00340000,0.00010000
2019-01-28,-0.00800000,-0.00160000,0.00630000,0.00010000
2019-01-29,-0.00190000,-0.00010000,0.00190000,0.00010000
2019-01-30,0.01510000,-0.00150000,-0.00940000,0.00010000
2019-01-31,0.00910000,0.00110000,-0.01110000,0.00010000
2019-02-01,0.00130000,-0.00120000,0.00430000,0.00010000
2019-02-04,0.00730000,0.00480000,-0.00470000,0.00010000
2019-02-05,0.00430000,-0.00070000,-0.00610000,0.00010000
2019-02-06,-0.00210000,-0.00010000,0.00060000,0.00010000
2019-02-07,-0.00930000,-0.00130000,0.00380000,0.00010000
2019-02-08,0.00100000,0.00050000,-0.00680000,0.00010000
2019-02-11,0.00140000,0.00660000,0.00230000,0.00010000
2019-02-12,0.01360000,0.00020000,-0.00160000,0.00010000
2019-02-13,0.00280000,0.00060000,0.00070000,0.00010000
2019-02-14,-0.00200000,0.00530000,-0.00590000,0.00010000
2019-02-15,0.01130000,0.00240000,0.00480000,0.00010000
2019-02-19,0.00190000,0.00290000,0.00310000,0.00010000
2019-02-20,0.00190000,0.00210000,0.00560000,0.00010000
2019-02-21,-0.00370000,-0.00060000,-0.00230000,0.00010000
2019-02-22,0.00650000,0.00550000,-0.01470000,0.00010000
2019-02-25,0.00150000,-0.00260000,-0.00180000,0.00010000
2019-02-26,-0.00160000,-0.00630000,-0.00330000,0.00010000
2019-02-27,0.00100000,0.00200000,-0.00120000,0.00010000
2019-02-28,-0.00310000,0.00020000,-0.00270000,0.00010000
2019-03-01,0.00720000,0.00290000,-0.00410000,0.00010000
2019-03-04,-0.00520000,-0.00410000,0.00380000,0.00010000
2019-03-05,-0.00170000,-0.00310000,-0.00220000,0.00010000
2019-03-06,-0.00840000,-0.01260000,0.00050000,0.00010000
2019-03-07,-0.00820000,-0.00060000,-0.00340000,0.00010000
2019-03-08,-0.00220000,0.00060000,-0.00170000,0.00010000
2019-03-11,0.01490000,0.00360000,-0.00530000,0.00010000
2019-03-12,0.00250000,-0.00280000,-0.00070000,0.00010000
2019-03-13,0.00670000,-0.00320000,0.00080000,0.00010000
2019-03-14,-0.00100000,-0.00400000,0.00300000,0.00010000
2019-03-15,0.00480000,-0.00250000,-0.00250000,0.00010000
2019-03-18,0.00460000,0.00150000,0.00440000,0.00010000
2019-03-19,-0.00090000,-0.00380000,-0.00920000,0.00010000
2019-03-20,-0.00370000,0.00010000,-0.01060000,0.00010000
2019-03-21,0.01100000,0.00300000,-0.01230000,0.00010000
2019-03-22,-0.02170000,-0.01510000,-0.00080000,0.00010000
2019-03-25,-0.00050000,0.00660000,-0.00260000,0.00010000
2019-03-26,0.00760000,0.00170000,0.00460000,0.00010000
2019-03-27,-0.00500000,0.00100000,0.00510000,0.00010000
2019-03-28,0.00400000,0.00340000,0.00020000,0.00010000
2019-03-29,0.00660000,-0.00230000,-0.00920000,0.00010000
2019-04-01,0.01190000,-0.00310000,0.00990000,0.00010000
2019-04-02,-0.00050000,-0.00130000,-0.00440000,0.00010000
2019-04-03,0.00270000,0.00210000,-0.00390000,0.00010000
2019-04-04,0.00190000,0.00200000,0.00940000,0.00010000
2019-04-05,0.00530000,0.00530000,-0.00070000,0.00010000
2019-04-08,0.00080000,-0.00290000,0.00100000,0.00010000
2019-04-09,-0.00650000,-0.00560000,-0.00150000,0.00010000
2019-04-10,0.00480000,0.00970000,-0.00110000,0.00010000
2019-04-11,0.00000000,-0.00310000,0.00400000,0.00010000
2019-04-12,0.00640000,-0.00510000,0.00660000,0.00010000
2019-04-15,-0.00090000,-0.00210000,-0.00550000,0.00010000
2019-04-16,0.00130000,0.00120000,0.00710000,0.00010000
2019-04-17,-0.00320000,-0.00700000,0.00840000,0.00010000
2019-04-18,0.00110000,-0.00250000,-0.00500000,0.00010000
2019-04-22,0.00110000,-0.00460000,-0.00570000,0.00010000
2019-04-23,0.00970000,0.00720000,-0.00490000,0.00010000
2019-04-24,-0.00220000,0.00280000,-0.00080000,0.00010000
2019-04-25,-0.00140000,-0.00750000,-0.00210000,0.00010000
2019-04-26,0.00530000,0.00430000,0.00060000,0.00010000
2019-04-29,0.00180000,0.00090000,0.00650000,0.00010000
2019-04-30,-0.00040000,-0.00690000,0.00270000,0.00010000
2019-05-01,-0.00830000,-0.00100000,-0.00020000,0.00010000
2019-05-02,-0.00160000,0.00450000,-0.00280000,0.00010000
2019-05-03,0.01130000,0.00930000,-0.00270000,0.00010000
2019-05-06,-0.00390000,0.00600000,-0.00420000,0.00010000
2019-05-07,-0.01690000,-0.00280000,0.00490000,0.00010000
2019-05-08,-0.00210000,-0.00160000,-0.00310000,0.00010000
2019-05-09,-0.00280000,0.00080000,0.00090000,0.00010000
2019-05-10,0.00350000,-0.00370000,0.00060000,0.00010000
2019-05-13,-0.02650000,-0.00730000,0.00280000,0.00010000
2019-05-14,0.00910000,0.00410000,-0.00020000,0.00010000
2019-05-15,0.00580000,0.00050000,-0.00960000,0.00010000
2019-05-16,0.00910000,-0.00390000,-0.00330000,0.00010000
2019-05-17,-0.00710000,-0.00800000,0.00280000,0.00010000
2019-05-20,-0.00650000,-0.00230000,0.00730000,0.00010000
2019-05-21,0.00900000,0.00430000,-0.00340000,0.00010000
2019-05-22,-0.00400000,-0.00510000,-0.00620000,0.00010000
2019-05-23,-0.01370000,-0.00690000,-0.00270000,0.00010000
2019-05-24,0.00230000,0.00500000,0.00300000,0.00010000
